x,y,r,E_x,E_y,E_z,E,phi
0,0,70.71067811865476,-0.0,-0.0,-0.0,0.0,0.0
0,1,70.00714249274856,-2.0586481938074844e-06,-0.0,-0.0,2.0586481938074844e-06,0.0
0,2,69.31089380465383,-4.1160397430640254e-06,-0.0,-0.0,4.1160397430640254e-06,0.0
0,3,68.62215385719105,-6.1753011669143155e-06,-0.0,-0.0,6.1753011669143155e-06,0.0
0,4,67.94115100585212,-8.230760600936047e-06,-0.0,-0.0,8.230760600936047e-06,0.0
0,5,67.26812023536856,-1.0289877702588197e-05,-0.0,-0.0,1.0289877702588197e-05,0.0
0,6,66.60330322138685,-1.234255072319361e-05,-0.0,-0.0,1.234255072319361e-05,0.0
0,7,65.94694837519019,-1.4400503984614307e-05,-0.0,-0.0,1.4400503984614307e-05,0.0
0,8,65.29931086925804,-1.6449208002196282e-05,-0.0,-0.0,1.6449208002196282e-05,0.0
0,9,64.66065264130884,-1.8504564555373937e-05,-0.0,-0.0,1.8504564555373937e-05,0.0
0,10,64.03124237432849,-2.0547634902664434e-05,-0.0,-0.0,2.0547634902664434e-05,0.0
0,11,63.41135544995076,-2.2598392352044357e-05,-0.0,-0.0,2.2598392352044357e-05,0.0
0,12,62.80127387243033,-2.4633523434744922e-05,-0.0,-0.0,2.4633523434744922e-05,0.0
0,13,62.20128616033595,-2.66769487466951e-05,-0.0,-0.0,2.66769487466951e-05,0.0
0,14,61.61168720299745,-2.870103070155298e-05,-0.0,-0.0,2.870103070155298e-05,0.0
0,15,61.032778078668514,-3.073349554950168e-05,-0.0,-0.0,3.073349554950168e-05,0.0
0,16,60.4648658313239,-3.27424487269112e-05,-0.0,-0.0,3.27424487269112e-05,0.0
0,17,59.90826320300064,-3.475926464285558e-05,-0.0,-0.0,3.475926464285558e-05,0.0
0,18,59.36328831862332,-3.6747876401696636e-05,-0.0,-0.0,3.6747876401696636e-05,0.0
0,19,58.83026432033091,-3.874313544994668e-05,-0.0,-0.0,3.874313544994668e-05,0.0
0,20,58.309518948453004,-4.07049062905733e-05,-0.0,-0.0,4.07049062905733e-05,0.0
0,21,57.8013840664737,-4.2671335658980935e-05,-0.0,-0.0,4.2671335658980935e-05,0.0
0,22,57.30619512757761,-4.459834449816515e-05,-0.0,-0.0,4.459834449816515e-05,0.0
0,23,56.824290580701486,-4.652718622226897e-05,-0.0,-0.0,4.652718622226897e-05,0.0
0,24,56.356011214421486,-4.8409987406451996e-05,-0.0,-0.0,4.8409987406451996e-05,0.0
0,25,55.90169943749474,-5.02909171212156e-05,-0.0,-0.0,5.02909171212156e-05,0.0
0,26,55.46169849544819,-5.211848423967817e-05,-0.0,-0.0,5.211848423967817e-05,0.0
0,27,55.036351623268054,-5.3939584988375754e-05,-0.0,-0.0,5.3939584988375754e-05,0.0
0,28,54.62600113499065,-5.569931822266427e-05,-0.0,-0.0,5.569931822266427e-05,0.0
0,29,54.230987451824994,-5.744712642535092e-05,-0.0,-0.0,5.744712642535092e-05,0.0
0,30,53.85164807134504,-5.912494049343509e-05,-0.0,-0.0,5.912494049343509e-05,0.0
0,31,53.48831648126533,-6.078458059696955e-05,-0.0,-0.0,6.078458059696955e-05,0.0
0,32,53.14132102234569,-6.23650887202808e-05,-0.0,-0.0,6.23650887202808e-05,0.0
0,33,52.81098370604357,-6.39205102363493e-05,-0.0,-0.0,6.39205102363493e-05,0.0
0,34,52.49761899362675,-6.53873154439952e-05,-0.0,-0.0,6.53873154439952e-05,0.0
0,35,52.20153254455275,-6.682164058814824e-05,-0.0,-0.0,6.682164058814824e-05,0.0
0,36,51.92301994298868,-6.815773876198983e-05,-0.0,-0.0,6.815773876198983e-05,0.0
0,37,51.66236541235796,-6.945372059521303e-05,-0.0,-0.0,6.945372059521303e-05,0.0
0,38,51.419840528729765,-7.064201002796639e-05,-0.0,-0.0,7.064201002796639e-05,0.0
0,39,51.19570294468082,-7.178259020370673e-05,-0.0,-0.0,7.178259020370673e-05,0.0
0,40,50.99019513592785,-7.280647070750911e-05,-0.0,-0.0,7.280647070750911e-05,0.0
0,41,50.80354318352215,-7.377541356605052e-05,-0.0,-0.0,7.377541356605052e-05,0.0
0,42,50.635955604688654,-7.46194455673502e-05,-0.0,-0.0,7.46194455673502e-05,0.0
0,43,50.48762224545735,-7.540201292956665e-05,-0.0,-0.0,7.540201292956665e-05,0.0
0,44,50.35871324805669,-7.605259531234107e-05,-0.0,-0.0,7.605259531234107e-05,0.0
0,45,50.24937810560445,-7.663621590219435e-05,-0.0,-0.0,7.663621590219435e-05,0.0
0,46,50.15974481593781,-7.708223273038255e-05,-0.0,-0.0,7.708223273038255e-05,0.0
